#id;image_id;count;k_value;score;std_dev
1;9843;50;8;950.403591552887;1.455031334585728
2;999;50;8;953.5498214523745;1.7172771846524808
3;2437;50;8;954.3243338847286;2.2096535209717083
4;5013;50;8;955.2056745267015;1.497921909422101
5;9473;50;8;956.152483714;1.8889929555792964
6;10587;50;8;956.9245139661425;2.092051840552725
7;10901;50;8;960.8983203314876;2.111050795293284
8;8924;50;8;961.3630522958089;2.2059837527017243
9;10864;50;8;961.9114215525808;1.8217774789037509
10;3;50;8;962.2802347972142;1.945573825979819
11;11539;50;8;962.4807889562434;3.1444152059403945
12;10923;50;8;962.5803802511431;2.412073889160429
13;10277;50;8;962.8573906331565;2.0951469093130393
14;12206;50;8;963.2023563736662;2.786858669230018
15;12882;50;8;963.6580314161631;2.718124914724115
16;2891;50;8;963.7234918367741;1.9975387513990601
17;11164;50;8;963.862847920111;2.054313082408473
18;10094;50;8;963.9067554255639;2.5776928686546934
19;11975;50;8;964.1884668545185;2.3982978303520883
20;11026;50;8;964.3042711972229;2.000589413213219
21;10784;50;8;964.916242111114;2.4040733197655184
22;12747;50;8;965.017665550943;1.927013311392177
23;11765;50;8;965.1209841296254;2.1176302753548404
24;10881;50;8;965.4722616599001;2.558155481816605
25;9862;51;8;965.904157381464;1.9227396651936794
26;12669;50;8;966.4486758786458;2.0335274251831934
27;12666;50;8;967.1017738027185;2.104168361066621
28;3168;50;8;967.4809131284637;2.551507577525483
29;10875;50;8;968.5880314651745;1.6851056208754225
30;235;50;8;968.9840575388556;2.042939170016429
31;637;50;8;969.4539327443056;1.1512956070683174
32;4492;50;8;969.6660580574179;2.4152697517128967
33;7537;50;8;969.8796172551777;1.8960306765667432
34;1794;50;8;970.3224881735478;2.261553705531978
35;2116;50;8;971.2169163357091;2.487002208197443
36;2535;50;8;972.0461964202757;1.632033315101576
37;189;50;8;972.3076088062833;2.5522149708285133
38;12487;50;8;972.6353387390279;2.2109366791217764
39;7882;50;8;972.6666673639739;2.4145481839436327
40;10889;50;8;972.7544293176874;0.9948905104446564
41;12513;50;8;973.2423258001132;2.0480373665763647
42;394;50;8;974.3323630649098;1.2474377735754765
43;5607;50;8;974.7310165507207;1.9081462178856847
44;8505;50;8;974.7626760835155;1.5161005847848896
45;12189;50;8;974.7687864157006;2.5470706741626787
46;12804;50;8;975.0278084799975;2.4353207106849464
47;12742;50;8;975.1350704530278;2.4723382993241136
48;11161;50;8;975.1957493882519;2.0153200668656748
49;12309;50;8;975.703118730165;1.9271992735298389
50;4212;50;8;975.7554070741104;2.3216748254461566
51;12676;50;8;975.8962786311109;2.3395070718691264
52;3738;50;8;976.0744034455546;1.4860606044054863
53;11385;50;8;976.1207591556091;2.634056564857361
54;8377;50;8;976.175774009702;2.8588049830770372
55;1854;50;8;977.0539176224491;2.979296996603584
56;11876;50;8;977.1680964048442;2.0808451987147576
57;2368;50;8;977.2545053091038;2.0275047656395007
58;10954;50;8;977.2622350101309;2.1495727539484983
59;385;50;8;977.3819067398775;1.9951078430829212
60;9722;50;8;977.4026983096335;1.9089120591890356
61;1210;50;8;977.5237355125446;2.0445412320992196
62;11627;50;8;977.5961674927211;2.5100520810550524
63;12280;50;8;977.6790959988066;2.705500093160788
64;2585;50;8;977.8088724468627;2.9861831286811804
65;9346;50;8;978.1966792986049;2.4643559588394193
66;9671;50;8;978.2196719976715;2.5701047780767157
67;654;50;8;978.371908264947;2.9169060102378057
68;4124;50;8;978.5698261689544;1.7867845806828546
69;5347;50;8;978.7208159288743;1.9804068813099098
70;11520;51;8;979.6700242414843;2.421801065607868
71;12312;50;8;980.1787287484406;1.0788334408502087
72;9329;50;8;980.3128110274764;1.8365753344252802
73;6225;50;8;980.7756809543897;2.288039125244081
74;2970;50;8;980.8478850399622;2.650873785019086
75;9533;50;8;980.8638269364696;1.1412894853630462
76;1855;50;8;980.8847266615468;2.5202117508062716
77;9906;50;8;980.9161062658889;1.970559198014953
78;11312;50;8;981.0188465444301;1.6161493445007749
79;2403;50;8;981.2885696878064;2.118648502411107
80;11431;50;8;981.3416041151114;2.416631115290249
81;12907;50;8;981.5368554633224;2.394040653948552
82;10147;50;8;981.5426922022617;2.081508127668184
83;9777;50;8;982.003169970766;2.1253305063419945
84;8623;50;8;982.5803016979155;2.7224485062166184
85;3099;50;8;982.5887136699564;2.266969052369618
86;9320;50;8;982.6183552390395;2.100512212558384
87;333;50;8;982.7201010262795;1.5699490004065828
88;11426;50;8;982.963951220669;2.2686081102081213
89;6054;50;8;983.0142206585879;2.6984016547825957
90;4076;50;8;983.3068629942828;2.0373256286173285
91;12191;50;8;983.4611567964957;1.7399861710394604
92;179;50;8;983.4854152497046;2.591837801480749
93;3701;50;8;983.561952587597;2.5971572238149605
94;11258;50;8;983.6331918636079;2.1288056562430593
95;4305;50;8;983.6575622896953;1.18244627229681
96;5032;50;8;984.1265997622932;1.3912943047386592
97;8086;50;8;984.1322600789671;2.3127496206064913
98;12120;50;8;984.1606559242962;2.304072430340752
99;12609;50;8;984.3925249353946;2.0724900430869253
100;1217;50;8;984.6254808127277;2.1346300229609407
101;11795;50;8;984.7142209751848;0.9566148500860046
102;12908;50;8;985.1387583656148;2.656158809844424
103;11896;50;8;985.2105578358846;2.579009801673811
104;11222;50;8;985.4044543061583;2.0286103800598263
105;5724;50;8;985.5024569404289;1.6870340329218922
106;5154;50;8;985.6276846738596;1.9973038425234655
107;4952;50;8;985.7130009439661;2.123103810063943
108;10958;50;8;985.8945628163924;1.9815183295371308
109;4914;50;8;985.9244711158776;1.2450493631126427
110;8427;50;8;986.0024608203171;2.169533941447754
111;2758;50;8;986.2892691523726;1.3288108474280205
112;2474;50;8;986.5288752102488;2.4303313016103214
113;325;50;8;986.7446781672237;2.548516479071047
114;12339;50;8;986.8949024541356;1.8403983197405775
115;557;50;8;986.9000095153732;2.1631643253481707
116;12831;50;8;987.1711199484652;1.2287914390642127
117;7831;50;8;987.2615737489909;2.733347353214049
118;10041;50;8;987.8529773690736;2.2008662198764366
119;3733;50;8;987.9023024744537;1.0898190163457553
120;7611;50;8;987.9855173829318;1.649184903690786
121;8724;50;8;988.4584115217747;2.256827451441036
122;11856;51;8;988.7534709847828;1.7340414725479263
123;12294;50;8;989.251363577724;2.034173189220209
124;10690;50;8;989.498350041919;1.7476976356992293
125;7788;50;8;989.7209812098474;1.9424755265503528
126;2943;50;8;989.7633621814025;1.5572319162859543
127;8438;50;8;989.7827291156124;2.2515881153906214
128;12270;50;8;989.8857699660532;2.1891222095910563
129;349;50;8;989.891400133944;1.3897228149184766
130;12601;50;8;989.8914914626951;2.346737009659546
131;10088;50;8;989.9666185931335;1.6610234601255256
132;12029;50;8;990.0446721715964;2.1101608527222715
133;9795;50;8;990.0693905089347;2.2652675522567707
134;4834;50;8;990.2921621373982;1.3310171123559622
135;2957;50;8;990.3312741615488;2.565739254576201
136;8379;50;8;990.5462381880496;1.7214228208143316
137;508;50;8;990.6055676644776;2.1504828088507275
138;12403;50;8;990.8011159461755;1.0601066845635756
139;7925;50;8;990.8966109702484;2.2680086016450702
140;2336;50;8;991.0669960263283;1.699563484396807
141;4070;50;8;991.3900010529372;0.9790952572112886
142;7909;50;8;991.5298112567;1.9569219855285833
143;12077;50;8;991.5937199963098;2.061581096964033
144;939;50;8;991.7075499547336;2.1901093894173718
145;12673;50;8;991.7103977289021;1.7933559371947476
146;978;50;8;991.7512839297169;1.4816849713570865
147;7609;50;8;992.0195129875143;2.391963169669644
148;12109;50;8;992.0988141532566;2.975096516881963
149;10912;50;8;992.4431905618978;2.4023768577990583
150;6035;50;8;992.5887907051493;1.7359147945947033
151;10273;50;8;992.6506986636032;1.3402890256885867
152;3724;50;8;992.6937189480167;2.700164045718287
153;10992;50;8;992.8239288288421;2.5136734749353375
154;10087;50;8;992.8521718565438;1.0536268887761686
155;8301;50;8;992.8593898913559;2.111716016470032
156;8629;50;8;993.1927667242693;3.3039045185761013
157;7057;50;8;993.2148267926688;2.168021498753707
158;12435;50;8;993.5444245982774;2.1836551140386247
159;10924;50;8;993.8322644760532;1.2044451455004967
160;2578;50;8;994.0293340915241;2.4608416937209925
161;11706;50;8;994.0631112633114;2.7618190700469785
162;12026;50;8;994.1148807348628;1.4829414940147045
163;4830;50;8;994.120044589124;1.3925583370838992
164;12647;50;8;994.2275388686076;1.144735074056863
165;9196;50;8;994.345764984982;2.4106453932039003
166;12491;50;8;994.4713689585359;2.2210880585288457
167;2106;50;8;994.4934690850288;2.0558875524437807
168;12429;50;8;994.8300599954417;1.014967876608661
169;10660;50;8;994.8911332635929;1.2122417715859017
170;9761;50;8;995.1970845803118;2.211791290225019
171;5022;50;8;995.7505817223085;1.8246868785320167
172;6695;50;8;995.8169579596265;2.8296579385971823
173;10685;50;8;995.8222022867866;2.3527732187601296
174;8341;50;8;995.8609613733244;2.173923571039576
175;12856;50;8;995.924872612795;2.1097840439204947
176;11217;50;8;995.9617732254692;2.7480396586572637
177;11758;50;8;995.997922509642;2.507686935054678
178;3181;50;8;996.1079283787225;1.8361826567942146
179;7529;51;8;996.1594483208536;1.2056879076281224
180;5492;50;8;996.1834649610254;1.8925293734607758
181;7212;50;8;996.3845819374559;1.879138881047765
182;10328;50;8;996.427090201102;2.3721053677068373
183;7950;50;8;996.5398388551789;2.673093401576761
184;5015;50;8;996.5444815862992;2.2679551752382245
185;5737;50;8;996.8733124146287;1.4472523391602359
186;1209;50;8;996.8931691291417;2.2426063523594153
187;12255;50;8;996.9430439453306;2.1777664708489994
188;1199;50;8;997.0824089076957;2.816551416716192
189;12896;50;8;997.1280409103206;2.0886802684412227
190;5075;50;8;997.193929915357;1.500900041517811
191;12895;50;8;997.302133435578;1.3645324747068297
192;4942;50;8;997.3583468463288;1.054591499285098
193;9543;50;8;997.5377217756235;2.4082993669002364
194;331;50;8;997.6029051639911;2.246658906479677
195;7604;50;8;997.7155687520175;2.805556098721986
196;5023;50;8;997.7788995078582;2.3920032615131945
197;3372;50;8;998.2480526472345;2.548502212647284
198;12205;50;8;998.6706568517808;1.0771798791848655
199;9509;50;8;998.6746544963684;1.6660392490993465
200;10356;50;8;998.6878640508374;2.471919955864023
201;299;50;8;998.7157154036818;2.458140340837862
202;2143;50;8;998.748710074956;1.7794795649148833
203;5678;50;8;998.7543153870375;2.3465944161125956
204;11802;50;8;998.8181315917682;2.3591655414542343
205;10073;50;8;998.8268159563756;1.9830231338525428
206;12230;50;8;998.9514860294071;1.582714548539219
207;11963;50;8;998.9526578243036;1.1721043927148
